Experiment,Heterogeneity,Class,Class_Name,Image,Anchor_Count,Pair_Count,Mean_Pairwise_MSE,Mean_Pairwise_SSIM,Mean_Pairwise_Feature_Distance,Min_Pairwise_Feature_Distance,Max_Pairwise_Feature_Distance,Unique_Nearest_Real_Idx_Count,Leakage_Level
E5,IID,0,airplane,0,5,10,0.025689022429287434,0.5111858874559403,0.3938134118914604,0.24408142268657684,0.5159492492675781,3,medium
E5,IID,0,airplane,1,5,10,0.015073053352534772,0.6168068647384644,0.3604144066572189,0.27709436416625977,0.4502347409725189,1,medium
E5,IID,0,airplane,2,5,10,0.013329154066741466,0.5881523787975311,0.22271801382303238,0.18392601609230042,0.3041059672832489,2,medium
E5,IID,0,airplane,3,5,10,0.01891616014763713,0.4937582671642303,0.3123616322875023,0.2008502036333084,0.3833049237728119,1,medium
E5,IID,0,airplane,4,5,10,0.012506340444087983,0.7003744304180145,0.24631406515836715,0.20396892726421356,0.30192869901657104,1,high
E5,IID,0,airplane,5,5,10,0.011470214184373616,0.5944622933864594,0.27598137110471727,0.17239023745059967,0.39824187755584717,1,medium
E5,IID,0,airplane,6,5,10,0.01456746868789196,0.5632475733757019,0.3152206718921661,0.25479260087013245,0.3819577097892761,1,medium
E5,IID,0,airplane,7,5,10,0.020023741386830808,0.5863683462142945,0.3276980370283127,0.2763339579105377,0.42037442326545715,2,medium
E5,IID,0,airplane,8,5,10,0.02447738070040941,0.514324951171875,0.32122461050748824,0.2430541068315506,0.45397183299064636,3,medium
E5,IID,0,airplane,9,5,10,0.015954109840095043,0.6115119218826294,0.35884787887334824,0.24163468182086945,0.4439164102077484,1,medium
E5,IID,1,automobile,0,5,10,0.00964151551015675,0.7803460538387299,0.32617145627737043,0.23123852908611298,0.3981928825378418,1,high
E5,IID,1,automobile,1,5,10,0.008185449475422501,0.8310794711112977,0.4029198169708252,0.2682357728481293,0.5448137521743774,1,high
E5,IID,1,automobile,2,5,10,0.01356711219996214,0.7476627111434937,0.30986930429935455,0.24581852555274963,0.3809739053249359,1,high
E5,IID,1,automobile,3,5,10,0.009289939422160387,0.843188613653183,0.3701575040817261,0.20304378867149353,0.599679172039032,1,high
E5,IID,1,automobile,4,5,10,0.008114537177607416,0.7819092571735382,0.2149472489953041,0.15670940279960632,0.29615747928619385,2,high
E5,IID,1,automobile,5,5,10,0.011311705969274045,0.7168329954147339,0.5048702329397201,0.29763123393058777,0.6068196892738342,1,high
E5,IID,1,automobile,6,5,10,0.008227016543969512,0.8327378153800964,0.25560709834098816,0.22290769219398499,0.2930620312690735,1,high
E5,IID,1,automobile,7,5,10,0.015124128106981516,0.7022863805294037,0.2529446482658386,0.1931198090314865,0.3206517994403839,1,high
E5,IID,1,automobile,8,5,10,0.00913719884119928,0.7861992061138153,0.33189011216163633,0.2573280334472656,0.4006105065345764,1,high
E5,IID,1,automobile,9,5,10,0.007967131212353706,0.8339422941207886,0.3124040961265564,0.18357114493846893,0.3984430730342865,1,high
E5,IID,2,bird,0,5,10,0.024495582841336728,0.6029378950595856,0.6648439824581146,0.5342476963996887,0.825910747051239,3,medium
E5,IID,2,bird,1,5,10,0.017885182704776525,0.6909294486045837,0.4893042415380478,0.28593066334724426,0.7157217860221863,4,low
E5,IID,2,bird,2,5,10,0.01581873744726181,0.6403286814689636,0.30527037382125854,0.1856522262096405,0.4808306097984314,3,medium
E5,IID,2,bird,3,5,10,0.018064944166690113,0.6233022570610046,0.4549039572477341,0.346672922372818,0.5312475562095642,4,low
E5,IID,2,bird,4,5,10,0.015673725120723247,0.5809370517730713,0.3356515809893608,0.2481849640607834,0.4129433333873749,1,medium
E5,IID,2,bird,5,5,10,0.012944161053746938,0.7571394324302674,0.3657181054353714,0.26183295249938965,0.47275978326797485,2,high
E5,IID,2,bird,6,5,10,0.008524250565096736,0.7907046914100647,0.3269949570298195,0.24781332910060883,0.4593872129917145,2,high
E5,IID,2,bird,7,5,10,0.014874857477843761,0.5898572921752929,0.31247867792844775,0.22523052990436554,0.40877917408943176,1,medium
E5,IID,2,bird,8,5,10,0.0261590626090765,0.6194351375102997,0.5426808923482895,0.3127117156982422,0.8287305235862732,2,medium
E5,IID,2,bird,9,5,10,0.015194866713136435,0.7113963663578033,0.3476016014814377,0.1936406046152115,0.518663227558136,4,low
E5,IID,3,cat,0,5,10,0.0070690047461539505,0.7914193749427796,0.22097940891981124,0.13350000977516174,0.2823512554168701,1,high
E5,IID,3,cat,1,5,10,0.0087300980463624,0.7324764728546143,0.3336532056331635,0.21334436535835266,0.4730278551578522,1,high
E5,IID,3,cat,2,5,10,0.007851939601823687,0.7624944150447845,0.2437016025185585,0.17688852548599243,0.3164302706718445,1,high
E5,IID,3,cat,3,5,10,0.009050294803455473,0.807455712556839,0.18642230182886124,0.1348266750574112,0.22561579942703247,1,high
E5,IID,3,cat,4,5,10,0.021712726540863515,0.5626588582992553,0.3781738877296448,0.20300152897834778,0.4895358085632324,1,medium
E5,IID,3,cat,5,5,10,0.008557294495403767,0.724435293674469,0.2734212204813957,0.19551274180412292,0.3960930407047272,1,high
E5,IID,3,cat,6,5,10,0.009402009285986423,0.7222211122512817,0.20244222581386567,0.17483778297901154,0.24823395907878876,1,high
E5,IID,3,cat,7,5,10,0.010492584388703107,0.654214757680893,0.3907767325639725,0.28706860542297363,0.5111872553825378,1,medium
E5,IID,3,cat,8,5,10,0.006452715583145618,0.7973060727119445,0.2779045805335045,0.1610691100358963,0.36666080355644226,1,high
E5,IID,3,cat,9,5,10,0.008189333928748965,0.7527703583240509,0.311327289044857,0.16741745173931122,0.40002185106277466,1,high
E5,IID,4,deer,0,5,10,0.01070585655979812,0.7822140634059906,0.19387097358703614,0.14252249896526337,0.22805635631084442,2,high
E5,IID,4,deer,1,5,10,0.03335380014032126,0.46228747367858886,0.37854394018650056,0.26929864287376404,0.4459543228149414,5,low
E5,IID,4,deer,2,5,10,0.00978596298955381,0.739532208442688,0.20696118623018264,0.1467927247285843,0.2730763852596283,1,high
E5,IID,4,deer,3,5,10,0.024932402186095715,0.49916312396526336,0.33060083091259,0.2813584804534912,0.3949918746948242,1,medium
E5,IID,4,deer,4,5,10,0.012990078702569009,0.6773852825164794,0.3154821082949638,0.24920032918453217,0.3874771296977997,3,medium
E5,IID,4,deer,5,5,10,0.010356019204482435,0.7607754349708558,0.3571767434477806,0.19050802290439606,0.5042734146118164,1,high
E5,IID,4,deer,6,5,10,0.017863598372787236,0.6719527781009674,0.32778743356466294,0.16117887198925018,0.41476988792419434,2,medium
E5,IID,4,deer,7,5,10,0.011621935293078423,0.7089936375617981,0.45117403417825697,0.23515500128269196,0.5895134806632996,3,medium
E5,IID,4,deer,8,5,10,0.01218437827192247,0.7508600354194641,0.21033819764852524,0.15944907069206238,0.25477346777915955,2,high
E5,IID,4,deer,9,5,10,0.02868584729731083,0.5322974234819412,0.3540866643190384,0.18860122561454773,0.49519121646881104,3,medium
E5,IID,5,dog,0,5,10,0.007701486302539706,0.7477726757526397,0.3389087080955505,0.21094681322574615,0.44048354029655457,1,high
E5,IID,5,dog,1,5,10,0.01446237051859498,0.7543179154396057,0.3802638649940491,0.25475507974624634,0.5044963359832764,1,high
E5,IID,5,dog,2,5,10,0.010759670333936811,0.7573585093021393,0.3110426366329193,0.15661966800689697,0.45758089423179626,1,high
E5,IID,5,dog,3,5,10,0.007765993103384971,0.789307850599289,0.39950287640094756,0.17648711800575256,0.517666220664978,1,high
E5,IID,5,dog,4,5,10,0.008180426247417927,0.7979503333568573,0.33679587543010714,0.2241104692220688,0.4137084186077118,1,high
E5,IID,5,dog,5,5,10,0.006187069369480014,0.8186230599880219,0.23454606384038926,0.18164695799350739,0.2899465560913086,1,high
E5,IID,5,dog,6,5,10,0.005933755310252309,0.8478588998317719,0.23059151768684388,0.16669748723506927,0.294260710477829,1,high
E5,IID,5,dog,7,5,10,0.0108562839217484,0.7729944109916687,0.30843100398778917,0.1656830608844757,0.41081660985946655,2,high
E5,IID,5,dog,8,5,10,0.006823468348011374,0.76738743185997,0.38774806410074236,0.24839149415493011,0.5491575002670288,1,high
E5,IID,5,dog,9,5,10,0.013132593128830194,0.7443102180957795,0.3790239438414574,0.23657390475273132,0.516075611114502,1,high
E5,IID,6,frog,0,5,10,0.02320667142048478,0.5375933676958085,0.4768084540963173,0.21892331540584564,0.6908692121505737,1,medium
E5,IID,6,frog,1,5,10,0.013111294712871313,0.698046886920929,0.2619639113545418,0.1882784068584442,0.31604671478271484,1,medium
E5,IID,6,frog,2,5,10,0.00954110468737781,0.7576065957546234,0.22485080361366272,0.14632220566272736,0.2760210931301117,2,high
E5,IID,6,frog,3,5,10,0.017370619252324103,0.5116697758436203,0.47003077417612077,0.20634369552135468,0.6116241812705994,1,medium
E5,IID,6,frog,4,5,10,0.021435773372650145,0.5574547260999679,0.5126698821783066,0.151357501745224,0.759773850440979,1,medium
E5,IID,6,frog,5,5,10,0.01546694552525878,0.6727367579936981,0.20986489504575728,0.1755395084619522,0.24467459321022034,4,low
E5,IID,6,frog,6,5,10,0.016886449418962002,0.6480796933174133,0.3993018314242363,0.18042807281017303,0.6353951692581177,1,medium
E5,IID,6,frog,7,5,10,0.011872823443263769,0.7282957315444947,0.2717210024595261,0.19068798422813416,0.42924264073371887,1,high
E5,IID,6,frog,8,5,10,0.015107683092355727,0.6635360479354858,0.2845215931534767,0.22956407070159912,0.38990265130996704,1,medium
E5,IID,6,frog,9,5,10,0.011400726437568665,0.7193678200244904,0.29084790498018265,0.1927415430545807,0.403548926115036,1,high
E5,IID,7,horse,0,5,10,0.008070826064795256,0.850862729549408,0.23930235654115678,0.1622052639722824,0.28487879037857056,1,high
E5,IID,7,horse,1,5,10,0.007852192874997855,0.809297788143158,0.2791467607021332,0.1306968480348587,0.4555155634880066,1,high
E5,IID,7,horse,2,5,10,0.009584513679146766,0.8112984657287597,0.3118346095085144,0.18663530051708221,0.4270164668560028,1,high
E5,IID,7,horse,3,5,10,0.007294231932610274,0.8101516246795655,0.20093353539705278,0.14416247606277466,0.2813170552253723,1,high
E5,IID,7,horse,4,5,10,0.00871058152988553,0.7766742587089539,0.28900823146104815,0.1919347196817398,0.44540858268737793,3,medium
E5,IID,7,horse,5,5,10,0.007772246934473514,0.7993220865726471,0.2567954286932945,0.20092761516571045,0.3664672374725342,2,high
E5,IID,7,horse,6,5,10,0.007826098985970021,0.8059333086013794,0.30505563914775846,0.21926185488700867,0.3808859884738922,1,high
E5,IID,7,horse,7,5,10,0.012062196619808674,0.7035279691219329,0.294750751554966,0.16816283762454987,0.39141473174095154,1,high
E5,IID,7,horse,8,5,10,0.008396430499851703,0.8512410342693328,0.22503808438777922,0.18006068468093872,0.2669891119003296,1,high
E5,IID,7,horse,9,5,10,0.007956658303737641,0.8134124338626861,0.2677397981286049,0.1897439956665039,0.32483598589897156,1,high
E5,IID,8,ship,0,5,10,0.013982822094112635,0.6382989943027496,0.3310326486825943,0.19038203358650208,0.43376871943473816,1,medium
E5,IID,8,ship,1,5,10,0.009318271093070507,0.6530638933181763,0.22890638560056686,0.17222800850868225,0.26340553164482117,1,medium
E5,IID,8,ship,2,5,10,0.015917661599814892,0.6175353765487671,0.22822880744934082,0.17703790962696075,0.2604229152202606,2,medium
E5,IID,8,ship,3,5,10,0.02137437779456377,0.577781218290329,0.3438829854130745,0.23398394882678986,0.505568265914917,2,medium
E5,IID,8,ship,4,5,10,0.010851157177239657,0.7158064603805542,0.2170059487223625,0.1613469123840332,0.2664308547973633,1,high
E5,IID,8,ship,5,5,10,0.01650487519800663,0.6008408606052399,0.2461986869573593,0.18298114836215973,0.3000137507915497,4,low
E5,IID,8,ship,6,5,10,0.014549263380467891,0.6963972806930542,0.19905193895101547,0.13430964946746826,0.2308160364627838,1,medium
E5,IID,8,ship,7,5,10,0.018828064575791358,0.5371535331010818,0.2790379449725151,0.22316358983516693,0.35762596130371094,3,medium
E5,IID,8,ship,8,5,10,0.016997831501066686,0.6105994582176208,0.2822132378816605,0.17337684333324432,0.4199531674385071,1,medium
E5,IID,8,ship,9,5,10,0.008864926407113671,0.654585725069046,0.20566072687506676,0.12474682182073593,0.24173596501350403,1,medium
E5,IID,9,truck,0,5,10,0.01633603647351265,0.6935074150562286,0.24050332754850387,0.1778011918067932,0.27716147899627686,1,medium
E5,IID,9,truck,1,5,10,0.008504938427358865,0.7307365596294403,0.27727811336517333,0.21500557661056519,0.36348864436149597,1,high
E5,IID,9,truck,2,5,10,0.015606284700334072,0.6525834918022155,0.2987875670194626,0.22074761986732483,0.4131748080253601,1,medium
E5,IID,9,truck,3,5,10,0.01682168710976839,0.6675369322299958,0.4080147981643677,0.2513105571269989,0.4778189957141876,3,medium
E5,IID,9,truck,4,5,10,0.014244101848453284,0.7302336633205414,0.24223585426807404,0.1881588250398636,0.28686073422431946,1,high
E5,IID,9,truck,5,5,10,0.011981287878006697,0.6859431385993957,0.3107999682426453,0.22793760895729065,0.4217929244041443,1,medium
E5,IID,9,truck,6,5,10,0.012278672493994235,0.744524747133255,0.22867672741413117,0.1886838674545288,0.28681012988090515,3,medium
E5,IID,9,truck,7,5,10,0.007913036551326514,0.7232090294361114,0.29071580767631533,0.2137526422739029,0.38244301080703735,1,high
E5,IID,9,truck,8,5,10,0.019098274409770966,0.6669500052928925,0.3006581723690033,0.17863190174102783,0.3665235638618469,1,medium
E5,IID,9,truck,9,5,10,0.008198809763416647,0.7501427829265594,0.24128138273954391,0.21329039335250854,0.2936778962612152,1,high
